Country ,n,long,lat
Afghanistan,20.01420595,67.709953,33.93911
Albania,0,20.168331,41.153332
Algeria,25.641745,1.659626,28.033886
American Samoa,,-170.132217,-14.270972
Andorra,,1.601554,42.546245
Angola,68.04358,17.873887,-11.202692
Antigua and Barbuda,0.180927311,-61.796428,17.060816
Argentina,280.283172,-63.616672,-38.416097
Armenia,0.3265,45.038189,40.069099
Aruba,,-69.968338,12.52111
Australia,1931.155531,133.775136,-25.274398
Austria,320.036527,14.550072,47.516231
Azerbaijan,1620.43791,47.576927,40.143105
"Bahamas, The",0,,
Bahrain,311.15413,50.637772,25.930414
Bangladesh,168.6607136,90.356331,23.684994
Barbados,,-59.543198,13.193887
Belarus,2.8839,27.953389,53.709807
Belgium,1353.426977,4.469936,50.503887
Belize,0,-88.49765,17.189877
Benin,,2.315834,9.30769
Bermuda,,-64.75737,32.321384
Bhutan,0.318844,90.433601,27.514162
Bolivia,22.980404,-63.588653,-16.290154
Bosnia and Herzegovina,0,17.679076,43.915886
Botswana,0.675495,24.684866,-22.328474
Brazil,1521.14944,-51.92528,-14.235004
British Virgin Islands,,-64.639968,18.420695
Brunei Darussalam,122.45694,,
Bulgaria,1.257,25.48583,42.733883
Burkina Faso,0.04808,-1.561593,12.238333
Burundi,,29.918886,-3.373056
Cabo Verde,0.049965,,
Cambodia,0.68860716,104.990963,12.565679
Cameroon,0.031566,12.354722,7.369722
Canada,3109.043058,-106.346771,56.130366
Cayman Islands,,-80.566956,19.513469
Central African Republic,,20.939444,6.611111
Chad,,18.732207,15.454166
Channel Islands,,,
Chile,1232.41109,-71.542969,-35.675147
China,25394.5878,104.195397,35.86166
Colombia,1547.674684,-74.297333,4.570868
Comoros,,43.872219,-11.875001
"Congo, Dem. Rep.",0.7512,,
"Congo, Rep.",4.151108743,,
Costa Rica,10.8,-83.753428,9.748917
Cote d'Ivoire,9.166862,,
Croatia,0.4406,15.2,45.1
Cuba,13.708525,-77.781167,21.521757
Curacao,,,
Cyprus,0.14,33.429859,35.126413
Czechia,22.73254,,
Denmark,,9.501785,56.26392
Djibouti,,42.590275,11.825138
Dominica,,-61.370976,15.414999
Dominican Republic,0,-70.162651,18.735693
Ecuador,50.80511,-78.183406,-1.831239
"Egypt, Arab Rep.",483.4138791,,
El Salvador,13.107,-88.89653,13.794185
Equatorial Guinea,0.288954,10.267895,1.650801
Eritrea,0,39.782334,15.179384
Estonia,0,25.013607,58.595272
Eswatini,0.043615,,
Ethiopia,2450.27296,40.489673,9.145
Faroe Islands,,-6.911806,61.892635
Fiji,108.9135,179.414413,-16.578193
Finland,1067.31511,25.748151,61.92411
France,4522.586,2.213749,46.227638
French Polynesia,,-149.406843,-17.679742
Gabon,,11.609444,-0.803689
"Gambia, The",0,,
Georgia,0.640604,43.356892,42.315407
Germany,7763.619214,10.451526,51.165691
Ghana,0,-1.023194,7.946527
Gibraltar,,-5.345374,36.137741
Greece,23.90576,21.824312,39.074208
Greenland,,-42.604303,71.706936
Grenada,,-61.604171,12.262776
Guam,,144.793731,13.444304
Guatemala,0.0273,-90.230759,15.783471
Guinea,,-9.696645,9.945587
Guinea-Bissau,,-15.180413,11.803749
Guyana,0.047589212,-58.93018,4.860416
Haiti,0,-72.285215,18.971187
Honduras,1.149492,-86.241905,15.199999
"Hong Kong SAR, China",11739.48957,,
Hungary,0,19.503304,47.162494
Iceland,138.653502,-19.020835,64.963051
India,1938.232596,78.96288,20.593684
Indonesia,981.74186,113.921327,-0.789275
"Iran, Islamic Rep.",152.2586607,,
Iraq,0,43.679291,33.223191
Ireland,174.5404,-8.24389,53.41291
Isle of Man,,-4.548056,54.236107
Israel,889.334,34.851612,31.046051
Italy,1344.955151,12.56738,41.87194
Jamaica,0,-77.297508,18.109581
Japan,8919.48,138.252924,36.204824
Jordan,153.56892,36.238414,30.585164
Kazakhstan,49.84901,66.923684,48.019573
Kenya,320.9525546,37.906193,-0.023559
Kiribati,0,-168.734039,-3.370417
"Korea, Dem. People's Rep.",0.487101,,
"Korea, Rep.",10664.37823,,
Kosovo,,20.902977,42.602636
Kuwait,364.649349,47.481766,29.31166
Kyrgyz Republic,0.495853,,
Lao PDR,0.910194,,
Latvia,5.1637624,24.603189,56.879635
Lebanon,51.70094,35.862285,33.854721
Lesotho,,28.233608,-29.609988
Liberia,,-9.429499,6.428055
Libya,0.758181,17.228331,26.3351
Liechtenstein,,9.555373,47.166
Lithuania,0,23.881275,55.169438
Luxembourg,7188.04334,6.129583,49.815273
"Macao SAR, China",26.02953,,
Madagascar,16.18255,46.869107,-18.766947
Malawi,0.002464004,34.301525,-13.254308
Malaysia,1378.744705,101.975766,4.210484
Maldives,0,73.22068,3.202778
Mali,,-3.996166,17.570692
Malta,6.727273,14.375416,35.937496
Marshall Islands,0.182569,171.184478,7.131474
Mauritania,0,-10.940835,21.00789
Mauritius,213.641,57.552152,-20.348404
Mexico,1072.52473,-102.552784,23.634501
"Micronesia, Fed. Sts.",,,
Moldova,1.22908832,28.369885,47.411631
Monaco,0,7.412841,43.750298
Mongolia,7.38543,103.846656,46.862496
Montenegro,0.15295,19.37439,42.708678
Morocco,102.19214,-7.09262,31.791702
Mozambique,6.347,35.529562,-18.665695
Myanmar,8.30683,,
Namibia,6.900144,18.49041,-22.95764
Nauru,1.72681,166.931503,-0.522778
Nepal,5.847551,84.124008,28.394857
Netherlands,5656.442,5.291266,52.132633
New Caledonia,,165.618042,-20.904305
New Zealand,1207.882205,174.885971,-40.900557
Nicaragua,,-85.207229,12.865416
Niger,,8.081666,17.607789
Nigeria,1.84341946,8.675277,9.081999
North Macedonia,,,
Northern Mariana Islands,,145.38469,17.33083
Norway,,8.468946,60.472024
Oman,566.923,55.923255,21.512583
Pakistan,192.977927,69.345116,30.375321
Palau,,134.58252,7.51498
Panama,94.840477,-80.782127,8.537981
Papua New Guinea,30.685844,143.95555,-6.314993
Paraguay,1.842301,-58.443832,-23.442503
Peru,340.335049,-75.015152,-9.189967
Philippines,926.888641,121.774017,12.879721
Poland,317.866,19.145136,51.919438
Portugal,536.98922,-8.224454,39.399872
Puerto Rico,,-66.590149,18.220833
Qatar,12739.81097,51.183884,25.354826
Romania,3.334,24.96676,45.943161
Russian Federation,6480.99978,,
Rwanda,0,29.873888,-1.940278
Samoa,0,-172.104629,-13.759029
San Marino,,12.457777,43.94236
Sao Tome and Principe,0.572749,,
Saudi Arabia,2043.245359,45.079162,23.885942
Senegal,2.091018,-14.452362,14.497401
Serbia,13.313,21.005859,44.016521
Seychelles,2.40769,55.491977,-4.679574
Sierra Leone,,-11.779889,8.460555
Singapore,6411.989828,103.819836,1.352083
Sint Maarten (Dutch part),,,
Slovak Republic,0,,
Slovenia,0.35950656,14.995463,46.151241
Solomon Islands,0,160.156194,-9.64571
Somalia,0,46.199616,5.152149
South Africa,565.20947,22.937506,-30.559482
South Sudan,,,
Spain,1191.466578,-3.74922,40.463667
Sri Lanka,394.05,80.771797,7.873054
St. Kitts and Nevis,,,
St. Lucia,,,
St. Martin (French part),,,
St. Vincent and the Grenadines,,,
Sudan,0.0755,30.217636,12.862807
Suriname,32.227,-56.027783,3.919305
Sweden,985.6556717,18.643501,60.128161
Switzerland,1640.735,8.227512,46.818188
Syrian Arab Republic,0.024356691,,
Tajikistan,2.506005423,71.276093,38.861034
Tanzania,0.962933,34.888822,-6.369028
Thailand,2327.667095,100.992541,15.870032
Timor-Leste,,125.727539,-8.874217
Togo,14.624076,0.824782,8.619543
Tonga,,-175.198242,-21.178986
Trinidad and Tobago,47.338148,-61.222503,10.691803
Tunisia,13.092473,9.537499,33.886917
Turkiye,6815.50975,,
Turkmenistan,16.55784,59.556278,38.969719
Turks and Caicos Islands,,-71.797928,21.694025
Tuvalu,,177.64933,-7.109535
Uganda,0.055324647,32.290275,1.373333
Ukraine,75.617661,31.16558,48.379433
United Arab Emirates,14765.59958,53.847818,23.424076
United Kingdom,5851.19,-3.435973,55.378051
United States,42498.26266,-95.712891,37.09024
Uruguay,,-55.765835,-32.522779
Uzbekistan,70.49835,64.585262,41.377491
Vanuatu,2.109910736,166.959158,-15.376706
"Venezuela, RB",0.183573,,
Viet Nam,1022.84225,,
Virgin Islands (U.S.),,,
West Bank and Gaza,,,
"Yemen, Rep.",0,,
Zambia,79.335,27.849332,-13.133897
Zimbabwe,0,29.154857,-19.015438
