country,age,rate,gender
AUS,15-19,5.605162908,female
AUS,15-19,5.984224824,male
AUS,20-24,6.291328262,female
AUS,20-24,6.694745394,male
AUS,25-29,7.268840493,female
AUS,25-29,7.619102907,male
AUS,30-34,7.560248658,female
AUS,30-34,7.541443633,male
AUS,35-39,7.268802189,female
AUS,35-39,7.242533533,male
AUS,40-44,6.439490949,male
AUS,40-44,6.404571305,female
AUS,45-49,6.389950526,female
AUS,45-49,6.356492746,male
AUS,50-54,6.301318042,female
AUS,50-54,6.107785678,male
AUS,55-59,5.998759475,female
AUS,55-59,5.856156576,male
AUS,60-64,5.697219804,female
AUS,60-64,5.490766314,male
AUS,65-69,5.012153785,female
AUS,65-69,4.767865956,male
AUS,70-74,4.406316529,female
AUS,70-74,4.246990062,male
AUS,75-79,3.245663438,female
AUS,75-79,3.04288664,male
AUS,80+,4.796649563,female
AUS,80+,3.606924708,male
AUS,0-4,5.724193742,female
AUS,0-4,6.141513412,male
AUS,5-9,6.046084525,female
AUS,5-9,6.468847289,male
AUS,10-14,5.982736756,female
AUS,10-14,6.392229379,male
BRA,15-19,7.168615566,female
BRA,15-19,7.687130918,male
BRA,20-24,7.685939691,female
BRA,20-24,8.176985765,male
BRA,25-29,7.748919049,female
BRA,25-29,8.171078819,male
BRA,30-34,7.920675934,female
BRA,30-34,8.260355907,male
BRA,35-39,8.047935611,female
BRA,35-39,8.270290727,male
BRA,40-44,7.552537167,male
BRA,40-44,7.505257684,female
BRA,45-49,6.684836196,female
BRA,45-49,6.591969132,male
BRA,50-54,6.096621944,female
BRA,50-54,5.877094727,male
BRA,55-59,5.70648917,female
BRA,55-59,5.34408484,male
BRA,60-64,4.880803313,female
BRA,60-64,4.394278853,male
BRA,65-69,3.898318622,female
BRA,65-69,3.32970554,male
BRA,70-74,2.897453583,female
BRA,70-74,2.32212697,male
BRA,75-79,1.943593663,female
BRA,75-79,1.484019203,male
BRA,80+,2.027063703,female
BRA,80+,1.217702784,male
BRA,0-4,6.397756176,female
BRA,0-4,6.899739121,male
BRA,5-9,6.609729531,female
BRA,5-9,7.123347356,male
BRA,10-14,6.779990565,female
BRA,10-14,7.297552169,male
CHN,15-19,5.24623069,female
CHN,15-19,5.892149446,male
CHN,20-24,5.392650155,female
CHN,20-24,5.989886353,male
