AUS,4.86,5.21,5.88,5.97,6.15,5.91,5.47,4.825,5.41,7.48,4.526,,intermediate
AUS,8.61,9.24,8.63,9.82,10.54,10.08,10.19,11.899,13.229,14.556,8.402,,basic
AUS,3.16,3.03,3.42,3.73,3.55,3.46,3.31,2.421,2.168,4.086,3.526,,advanced
BRA,8.637,4.146,4.274,4.027,7.408,13.298,14.388,13.974,13.539,15.828,15.041,10.415,intermediate
BRA,8.735,7.005,6.884,6.653,8.827,13.65,15.479,14.82,14.639,16.855,16.28,11.877,basic
BRA,3.848,1.083,1.392,1.297,5.079,6.272,6.929,6.755,6.733,7.429,7.523,5.064,advanced
CAN,8.493,8.223,8.211,8.089,8.246,8.229,7.445,6.91,7.122,13.072,9.976,6.78,intermediate
CAN,15.58,15.137,14.569,14.258,14.13,14.072,12.871,11.776,11.537,17.026,14.532,11.304,basic
CAN,5.679,5.617,5.357,5.369,5.321,5.512,5.117,4.626,4.441,7.609,5.944,4.12,advanced
FRA,8.9,9.842,10.116,10.624,10.799,10.663,10.071,9.654,9.145,8.854,8.481,8.179,intermediate
FRA,15.013,15.957,16.285,17.256,17.489,17.814,16.934,15.93,15.438,14.005,14.452,13.117,basic
FRA,5.7,5.693,6.255,6.314,6.3,5.696,5.224,5.435,5.102,5.206,5.324,4.736,advanced
DEU,5.703,5.229,5.085,4.632,4.238,3.689,3.294,2.881,2.71,3.238,3.141,2.711,intermediate
DEU,12.937,12.192,11.796,11.709,11.149,10.062,9.441,8.793,7.876,9.164,7.805,6.567,basic
DEU,2.375,2.312,2.348,2.466,2.322,2.187,1.977,1.869,1.809,2.549,2.438,2.02,advanced
ITA,7.813,10.013,11.421,11.914,11.388,11.078,10.466,10.115,9.437,8.736,9.203,7.753,intermediate
ITA,10.526,13.551,15.775,16.43,15.437,15.476,15.356,14.475,13.676,12.657,13.229,11.549,basic
ITA,5.323,6.585,7.204,7.824,7.098,6.749,6.372,5.921,5.704,5.331,5.049,4.087,advanced
KOR,3.113,2.901,2.6,2.899,3.299,3.356,3.117,3.731,3.624,3.952,3.574,2.796,intermediate
KOR,2.126,1.911,1.658,2.009,2.43,2.436,2.614,2.993,3.441,3.927,3.78,2.926,basic
KOR,3.305,3.112,3.265,3.578,4.074,4.211,4.32,4.116,3.892,3.926,3.627,2.87,advanced
MEX,6.111,5.948,5.861,5.894,5.346,4.801,4.181,3.995,4.094,5.27,5.048,4.021,intermediate
MEX,5.414,5.015,5.044,4.794,4.207,3.605,3.196,3.016,3.223,4.251,3.59,2.827,basic
MEX,5.156,4.971,5.125,5.372,4.929,4.929,4.313,4.118,4.399,4.692,4.699,4.045,advanced
GBR,8.533,8.565,8.24,6.847,5.966,5.341,4.772,4.619,4.002,,,,intermediate
GBR,13.931,13.741,13.685,11.117,9.461,8.17,7.179,6.312,6.518,,,,basic
GBR,4.311,4.286,3.933,3.17,2.943,2.92,2.761,2.51,2.48,,,,advanced
RUS,5.708,4.744,4.8,4.596,5.089,5.004,4.683,4.222,3.973,4.971,4.126,3.236,intermediate
RUS,16.356,13.703,13.71,13.255,13.821,14.02,13.506,12.692,10.847,12.506,11.213,9.606,basic
RUS,6.378,5.34,5.358,5.013,5.35,5.433,5.041,4.789,4.434,5.571,4.663,6.016,advanced
USA,11.569,10.416,9.68,8.091,7.087,6.471,5.766,5.172,4.84,10.457,7.076,4.96,intermediate
USA,13.601,12.739,10.811,8.839,7.76,7.492,6.551,5.872,5.396,11.724,8.056,5.507,basic
USA,5.136,4.741,4.322,3.691,3.032,2.908,2.686,2.45,2.38,5.591,3.576,2.321,advanced
JPN,,5.08,4.71,,4.02,3.7,3.39,3.1,2.87,3.21,,,intermediate
JPN,,,,,,,,,,,,,basic
JPN,,3.49,3.4,,2.72,2.59,2.32,2.3,2.03,2.47,,,advanced
VNM,1.6,1.714,1.971,1.866,2.618,2.659,2.78,1.758,2.301,2.461,2.824,1.802,intermediate
VNM,0.711,0.674,0.809,0.729,1.244,1.169,1.271,0.857,1.269,1.405,2.016,1.11,basic
VNM,2.509,2.817,3.892,3.966,4.588,4.626,4.001,2.075,2.531,4.483,3.414,2.972,advanced
